time_ns,cycle,freq_step,f_word_hex,freq_hz,wave_out,step_sync
2770,133,0,0x051eb851,999999,84,0
2790,134,0,0x051eb851,999999,78,0
2810,135,0,0x051eb851,999999,74,0
2830,136,0,0x051eb851,999999,70,0
2850,137,0,0x051eb851,999999,67,0
2870,138,0,0x051eb851,999999,65,0
2890,139,0,0x051eb851,999999,64,0
2910,140,0,0x051eb851,999999,64,0
2930,141,0,0x051eb851,999999,65,0
2950,142,0,0x051eb851,999999,67,0
2970,143,0,0x051eb851,999999,70,0
2990,144,0,0x051eb851,999999,74,0
3010,145,0,0x051eb851,999999,78,0
3030,146,0,0x051eb851,999999,84,0
3050,147,0,0x051eb851,999999,90,0
3070,148,0,0x051eb851,999999,97,0
3090,149,0,0x051eb851,999999,104,0
3110,150,0,0x051eb851,999999,112,0
3130,151,0,0x051eb851,999999,119,0
3150,152,0,0x051eb851,999999,127,0
3170,153,0,0x051eb851,999999,135,0
3190,154,0,0x051eb851,999999,143,0
3210,155,0,0x051eb851,999999,151,0
3230,156,0,0x051eb851,999999,158,0
3250,157,0,0x051eb851,999999,165,0
3270,158,0,0x051eb851,999999,171,0
3290,159,0,0x051eb851,999999,177,0
3310,160,0,0x051eb851,999999,181,0
3330,161,0,0x051eb851,999999,185,0
3350,162,0,0x051eb851,999999,188,0
3370,163,0,0x051eb851,999999,190,0
3390,164,0,0x051eb851,999999,191,0
3410,165,0,0x051eb851,999999,191,0
3430,166,0,0x051eb851,999999,190,0
3450,167,0,0x051eb851,999999,188,0
3470,168,0,0x051eb851,999999,185,0
3490,169,0,0x051eb851,999999,181,0
3510,170,0,0x051eb851,999999,177,0
3530,171,0,0x051eb851,999999,171,0
3550,172,0,0x051eb851,999999,165,0
3570,173,0,0x051eb851,999999,158,0
3590,174,0,0x051eb851,999999,151,0
3610,175,0,0x051eb851,999999,143,0
3630,176,0,0x051eb851,999999,136,0
3650,177,0,0x051eb851,999999,128,0
3670,178,0,0x051eb851,999999,120,0
3690,179,0,0x051eb851,999999,112,0
3710,180,0,0x051eb851,999999,104,0
3730,181,0,0x051eb851,999999,97,0
3750,182,0,0x051eb851,999999,90,0
3770,183,0,0x051eb851,999999,84,0
3790,184,0,0x051eb851,999999,78,0
3810,185,0,0x051eb851,999999,74,0
3830,186,0,0x051eb851,999999,70,0
3850,187,0,0x051eb851,999999,67,0
3870,188,0,0x051eb851,999999,65,0
3890,189,0,0x051eb851,999999,64,0
3910,190,0,0x051eb851,999999,64,0
3930,191,0,0x051eb851,999999,65,0
3950,192,0,0x051eb851,999999,67,0
3970,193,0,0x051eb851,999999,70,0
3990,194,0,0x051eb851,999999,74,0
4010,195,0,0x051eb851,999999,78,0
4030,196,0,0x051eb851,999999,84,0
4050,197,0,0x051eb851,999999,90,0
4070,198,0,0x051eb851,999999,97,0
4090,199,0,0x051eb851,999999,104,0
4110,200,0,0x051eb851,999999,112,0
4130,201,0,0x051eb851,999999,119,0
4150,202,0,0x051eb851,999999,127,0
4170,203,0,0x051eb851,999999,135,0
4190,204,0,0x051eb851,999999,143,0
4210,205,0,0x051eb851,999999,151,0
4230,206,0,0x051eb851,999999,158,0
4250,207,0,0x051eb851,999999,165,0
4270,208,0,0x051eb851,999999,171,0
4290,209,0,0x051eb851,999999,177,0
4310,210,0,0x051eb851,999999,181,0
4330,211,0,0x051eb851,999999,185,0
4350,212,0,0x051eb851,999999,188,0
4370,213,0,0x051eb851,999999,190,0
4390,214,0,0x051eb851,999999,191,0
4410,215,0,0x051eb851,999999,191,0
4430,216,0,0x051eb851,999999,190,0
4450,217,0,0x051eb851,999999,188,0
4470,218,0,0x051eb851,999999,185,0
4490,219,0,0x051eb851,999999,181,0
4510,220,0,0x051eb851,999999,177,0
4530,221,0,0x051eb851,999999,171,0
4550,222,0,0x051eb851,999999,165,0
4570,223,0,0x051eb851,999999,158,0
4590,224,0,0x051eb851,999999,151,0
4610,225,0,0x051eb851,999999,143,0
4630,226,0,0x051eb851,999999,136,0
4650,227,0,0x051eb851,999999,128,0
4670,228,0,0x051eb851,999999,120,0
4690,229,0,0x051eb851,999999,112,0
4710,230,0,0x051eb851,999999,104,0
4730,231,0,0x051eb851,999999,97,0
4750,232,0,0x051eb851,999999,90,0
4770,233,0,0x051eb851,999999,84,0
4790,234,0,0x051eb851,999999,78,0
4810,235,0,0x051eb851,999999,74,0
4830,236,0,0x051eb851,999999,70,0
4850,237,0,0x051eb851,999999,67,0
4870,238,0,0x051eb851,999999,65,0
4890,239,0,0x051eb851,999999,64,0
4910,240,0,0x051eb851,999999,64,0
4930,241,0,0x051eb851,999999,65,0
4950,242,0,0x051eb851,999999,67,0
4970,243,0,0x051eb851,999999,70,0
